City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
saint anthony,90,US,1554672349,57,43.97,-111.68,53.01,23.04
avarua,32,CK,1554670800,74,-21.21,-159.78,82.4,17.22
tuktoyaktuk,90,CA,1554670800,78,69.44,-133.03,8.6,9.17
punta arenas,75,CL,1554670949,61,-53.16,-70.91,46.4,10.29
upernavik,20,GL,1554672548,83,72.79,-56.15,36.16,19.95
kindu,36,CD,1554672658,94,-2.95,25.92,73.69,1.95
clyde river,76,CA,1554670800,84,70.47,-68.59,8.6,9.17
hermanus,0,ZA,1554671828,93,-34.42,19.24,64.0,4.0
busselton,0,AU,1554672611,64,-33.64,115.35,50.0,12.46
norman wells,90,CA,1554667200,68,65.28,-126.83,28.4,6.93
pa daet,0,TH,1554670800,88,19.5,99.99,69.8,3.36
payo,36,ID,1554672659,96,-3.75,103.64,71.8,2.73
iqaluit,75,CA,1554670924,85,63.75,-68.52,23.0,26.4
tiarei,20,PF,1554670945,66,-17.53,-149.33,89.01,9.17
bandarbeyla,0,SO,1554672660,100,9.49,50.81,79.9,6.64
itarema,56,BR,1554672660,92,-2.92,-39.92,79.36,6.87
vaini,0,IN,1554672661,88,15.34,74.49,69.01,1.05
souillac,0,FR,1554672648,81,45.6,-0.6,46.4,1.12
victoria,75,BN,1554670800,94,5.28,115.24,80.01,5.19
puerto ayora,20,EC,1554671763,66,-0.74,-90.35,86.0,13.87
rikitea,88,PF,1554672662,100,-23.12,-134.97,77.2,6.42
ixtapa,5,MX,1554672629,54,20.71,-105.21,80.6,13.87
khatanga,24,RU,1554672662,72,71.98,102.47,8.44,10.78
bredasdorp,0,ZA,1554672655,93,-34.53,20.04,62.01,1.12
port hedland,44,AU,1554670800,100,-20.31,118.58,78.8,5.82
mogadishu,12,SO,1554672663,100,2.04,45.34,83.05,11.68
inuvik,40,CA,1554670800,52,68.36,-133.71,17.6,3.36
jamestown,0,AU,1554672635,81,-33.21,138.6,40.21,2.73
urubamba,40,PE,1554670800,91,-13.31,-72.12,68.0,10.29
barrow,0,AR,1554672664,32,-38.31,-60.23,80.62,9.1
mataura,0,NZ,1554672006,96,-46.19,168.86,46.0,3.62
ushuaia,75,AR,1554670800,77,-54.81,-68.31,42.8,14.99
saint-philippe,90,CA,1554672545,57,45.36,-73.48,52.0,10.29
port alfred,20,ZA,1554672407,87,-33.59,26.89,66.99,5.01
provideniya,0,RU,1554670800,67,64.42,-173.23,17.6,17.9
hithadhoo,56,MV,1554672665,100,-0.6,73.08,85.03,4.41
guymon,1,US,1554672209,22,36.68,-101.48,77.0,16.11
tiksi,56,RU,1554672530,76,71.64,128.87,21.58,11.34
medvezhyegorsk,56,RU,1554672665,79,62.92,34.47,24.37,2.28
sisimiut,92,GL,1554672547,88,66.94,-53.67,31.03,1.72
albany,75,US,1554672339,42,42.65,-73.75,66.99,5.82
bluff,0,AU,1554672549,85,-23.58,149.07,60.28,2.95
todos santos,5,MX,1554672664,44,23.45,-110.23,82.99,18.34
palestine,90,US,1554672618,100,31.76,-95.63,69.01,13.87
sergeyevka,0,KZ,1554672667,76,53.88,67.42,31.3,2.84
tolaga bay,0,NZ,1554672667,89,-38.37,178.3,54.52,5.41
hasaki,75,JP,1554672277,57,35.73,140.83,50.0,14.99
kandrian,92,PG,1554672667,100,-6.21,149.55,72.79,3.4
college,1,US,1554672606,36,64.86,-147.8,48.2,4.97
fremont,1,US,1554672447,60,37.55,-121.99,77.0,8.05
faanui,64,PF,1554672588,100,-16.48,-151.75,84.13,17.27
butaritari,56,KI,1554672559,100,3.07,172.79,81.16,12.68
krabi,20,TH,1554670800,100,8.06,98.92,78.8,1.12
mount gambier,90,AU,1554670800,100,-37.83,140.78,53.6,8.05
lebu,36,ET,1554672548,62,8.96,38.73,56.59,4.97
fort frances,90,CA,1554672604,100,48.61,-93.4,44.6,3.36
churapcha,8,RU,1554672669,80,62.0,132.43,20.14,6.76
alice springs,0,AU,1554670800,48,-23.7,133.88,60.8,3.36
stuttgart,0,DE,1554672665,76,48.78,9.18,54.0,6.93
severo-kurilsk,88,RU,1554672670,95,50.68,156.12,32.65,24.32
paamiut,8,GL,1554672670,93,61.99,-49.67,33.28,3.96
katsuura,75,JP,1554671100,93,33.93,134.5,52.0,4.7
lavrentiya,0,RU,1554672580,96,65.58,-170.99,13.75,38.74
bambous virieux,40,MU,1554672540,74,-20.34,57.76,80.6,12.75
rio grande,75,BR,1554670800,64,-32.03,-52.1,71.6,5.82
fengrun,8,CN,1554672671,32,39.83,118.12,38.95,10.0
constitucion,20,MX,1554672016,12,23.99,-104.67,75.2,4.7
ribeira grande,40,PT,1554667200,58,38.52,-28.7,57.2,18.34
lagoa,40,PT,1554672580,87,37.14,-8.45,60.8,9.17
evanston,75,US,1554672645,72,42.04,-87.69,69.01,8.05
port hardy,75,CA,1554667200,81,50.7,-127.42,50.0,13.87
yulara,20,AU,1554670800,42,-25.24,130.99,62.6,4.7
san ramon,40,NI,1554672643,45,12.92,-85.84,84.2,4.7
tornio,0,FI,1554672459,60,61.12,27.27,42.01,11.41
xuddur,8,SO,1554672558,45,4.12,43.89,77.83,7.65
pampa,1,US,1554671751,22,35.54,-100.96,80.6,13.87
trelew,92,AR,1554672501,34,-43.25,-65.31,78.19,6.53
hobart,40,AU,1554672374,61,-42.88,147.33,50.0,8.05
prata,80,BR,1554672674,96,-19.31,-48.92,73.87,4.18
kieta,76,PG,1554672674,100,-6.22,155.63,79.9,3.96
leningradskiy,36,RU,1554672675,95,69.38,178.42,2.77,3.18
mar del plata,92,AR,1554672675,88,-46.43,-67.52,52.0,8.77
bethel,1,US,1554670560,69,60.79,-161.76,35.6,12.75
wawa,56,NG,1554672675,80,9.9,4.41,81.43,6.76
vinh,20,VN,1554672430,94,18.67,105.69,74.05,1.83
kodiak,20,US,1554672523,64,39.95,-94.76,75.99,12.75
poronaysk,56,RU,1554672676,81,49.22,143.1,27.88,7.2
georgetown,20,GY,1554670800,66,6.8,-58.16,86.0,9.17
shetpe,88,KZ,1554672677,86,44.14,52.16,49.75,8.88
puteyets,80,RU,1554672677,93,65.17,57.09,30.94,2.73
mazamari,12,PE,1554672487,67,-11.33,-74.53,71.71,2.39
normandin,75,CA,1554670800,42,48.84,-72.53,26.6,6.93
hilo,1,US,1554672516,61,19.71,-155.08,80.6,11.41
east london,64,ZA,1554672409,100,-33.02,27.91,71.53,20.51
chapais,1,CA,1554670800,38,49.78,-74.86,26.6,6.93
cape town,0,ZA,1554672354,93,-33.93,18.42,64.0,3.36
kemptville,90,CA,1554672676,57,45.02,-75.64,53.01,8.05
nanortalik,8,GL,1554672679,98,60.14,-45.24,31.66,1.16
luderitz,0,NA,1554672665,88,-26.65,15.16,59.2,14.25
saskylakh,32,RU,1554672679,69,71.97,114.09,11.14,9.44
new norfolk,20,AU,1554672554,66,-42.78,147.06,50.0,6.93
alice town,0,BS,1554672680,98,25.72,-79.3,77.83,14.58
dikson,48,RU,1554672680,100,73.51,80.55,13.21,5.53
grindavik,75,IS,1554672117,100,63.84,-22.43,39.99,6.93
atuona,24,PF,1554672680,98,-9.8,-139.03,82.69,15.48
tasiilaq,92,GL,1554670200,59,65.61,-37.64,33.8,26.4
cidreira,92,BR,1554672608,96,-30.17,-50.22,68.83,8.32
tucumcari,1,US,1554672618,25,35.17,-103.73,78.8,12.75
airai,0,TL,1554672681,89,-8.93,125.41,66.49,1.39
qaanaaq,80,GL,1554672595,88,77.48,-69.36,22.39,13.13
aripuana,44,BR,1554672682,78,-9.17,-60.63,82.15,2.39
mollendo,0,PE,1554672682,60,-17.03,-72.02,74.86,3.74
kruisfontein,20,ZA,1554672572,77,-34.0,24.73,67.03,15.48
cabedelo,40,BR,1554670800,83,-6.97,-34.84,80.6,6.93
yellowknife,90,CA,1554672169,86,62.45,-114.38,28.99,10.29
port blair,0,IN,1554672683,100,11.67,92.75,84.31,2.95
erzin,75,TR,1554672519,77,36.95,36.2,61.0,9.17
vanderhoof,24,CA,1554672683,44,54.02,-124.02,48.4,4.63
arraial do cabo,0,BR,1554670800,88,-22.97,-42.02,80.6,6.93
pingliang,92,CN,1554672397,48,35.54,106.68,54.88,3.51
yumen,92,CN,1554672615,74,40.29,97.04,42.37,15.59
sao filipe,0,CV,1554672580,95,14.9,-24.5,71.8,15.82
braco do norte,92,BR,1554672684,100,-28.27,-49.17,64.6,3.06
juneau,90,US,1554670560,75,58.3,-134.42,46.4,19.46
lompoc,1,US,1554672555,60,34.64,-120.46,80.6,16.11
melita,0,CA,1554672505,38,49.27,-100.98,63.0,13.0
port macquarie,36,AU,1554672605,72,-31.43,152.91,64.99,8.05
despotovac,8,RS,1554672685,65,44.1,21.44,50.65,8.88
kahului,20,US,1554672284,54,20.89,-156.47,82.4,12.75
acari,48,BR,1554672686,68,-6.44,-36.64,78.55,10.11
tuatapere,0,NZ,1554672608,94,-46.13,167.69,46.99,5.19
naze,40,NG,1554667200,94,5.43,7.07,80.6,4.7
usinsk,76,RU,1554672577,92,66.0,57.56,24.91,2.95
nikolskoye,0,RU,1554672336,48,59.7,30.79,42.8,8.95
tongzi,8,CN,1554672687,70,28.78,105.09,65.23,5.41
bandhi,0,PK,1554670800,41,26.59,68.3,78.8,5.19
longyearbyen,20,NO,1554670200,78,78.22,15.63,8.6,4.7
mamallapuram,20,IN,1554670800,83,12.63,80.17,84.2,5.82
catarama,80,EC,1554672687,96,-1.57,-79.48,69.1,2.62
beausejour,90,CA,1554672617,87,50.06,-96.51,46.99,10.29
san rafael del sur,20,NI,1554670800,41,11.85,-86.44,95.0,11.41
schroeder,75,BR,1554672396,100,-26.41,-49.07,72.0,4.7
manzanillo,76,CU,1554672688,90,20.34,-77.12,84.31,2.06
maues,76,BR,1554672689,92,-3.38,-57.72,77.83,2.84
lunca,0,RO,1554672689,84,45.97,22.87,44.8,1.72
klaksvik,64,FO,1554670200,65,62.23,-6.59,41.0,12.75
rawson,92,AR,1554672660,34,-43.3,-65.11,78.19,6.53
qiongshan,0,CN,1554670800,94,20.01,110.35,75.2,4.47
katobu,32,ID,1554672690,96,-4.94,122.53,82.33,4.41
meulaboh,64,ID,1554672690,100,4.14,96.13,80.08,3.06
pedernales,8,EC,1554672690,53,0.07,-80.05,87.28,6.53
lixourion,92,GR,1554671769,89,38.2,20.43,54.0,7.31
miri,100,NG,1554672691,29,10.31,9.75,89.71,5.19
abu dhabi,0,AE,1554670800,35,24.47,54.37,87.8,8.05
sitka,0,US,1554671789,30,37.17,-99.65,75.0,11.99
mastic beach,1,US,1554672687,66,40.77,-72.85,60.01,11.41
akhtanizovskaya,36,RU,1554670800,66,45.32,37.1,55.4,20.13
saldanha,92,PT,1554672692,97,41.42,-6.55,46.78,8.66
margate,20,AU,1554672674,66,-43.03,147.26,52.0,6.93
hualmay,12,PE,1554672692,65,-11.1,-77.61,76.3,4.97
dossor,92,KZ,1554672693,71,47.52,52.98,51.28,8.77
necochea,0,AR,1554672693,44,-38.55,-58.74,78.55,7.65
sambava,80,MG,1554672693,100,-14.27,50.17,78.82,10.78
tunduma,32,ZM,1554672693,85,-9.31,32.77,67.48,8.66
road town,40,VG,1554672432,61,18.42,-64.62,82.4,9.17
namatanai,48,PG,1554672694,100,-3.66,152.44,79.27,9.66
natal,40,BR,1554670800,83,-5.81,-35.21,82.4,6.93
marsh harbour,8,BS,1554672694,99,26.54,-77.06,77.56,11.12
fez,20,MA,1554670800,87,34.03,-5.02,53.6,6.93
kaitangata,0,NZ,1554672590,76,-46.28,169.85,51.01,3.0
gimli,88,CA,1554672617,93,50.63,-96.99,45.0,5.01
ramsar,90,IR,1554670800,93,36.92,50.64,53.6,3.62
torbay,90,CA,1554672683,74,47.66,-52.73,35.01,11.41
chokurdakh,64,RU,1554672695,75,70.62,147.9,11.77,3.18
zemio,0,CF,1554672696,87,5.02,25.13,72.97,4.18
mongoumba,44,CD,1554672696,92,3.64,18.59,76.21,3.96
ostrovnoy,68,RU,1554672613,86,68.05,39.51,24.28,7.99
nantucket,1,US,1554672675,81,41.28,-70.1,53.6,9.17
zaozerne,0,UA,1554672697,81,51.37,23.94,47.14,5.97
ikom,44,NG,1554672697,79,5.96,8.72,79.72,7.99
tilichiki,8,RU,1554672697,83,60.47,166.1,20.59,3.74
maldonado,0,UY,1554670800,68,-34.91,-54.96,66.2,6.93
biak,8,ID,1554672550,98,-0.91,122.88,78.01,0.38
carnarvon,76,ZA,1554672698,73,-30.97,22.13,58.66,10.56
kwekwe,12,ZW,1554672698,60,-18.93,29.81,66.13,9.89
brae,0,GB,1554670200,65,60.4,-1.35,42.8,26.4
san patricio,0,PY,1554672639,63,-26.98,-56.83,72.61,4.41
mitsamiouli,20,KM,1554670800,88,-11.38,43.28,80.6,9.22
fairbanks,1,US,1554672606,36,64.84,-147.72,48.2,4.97
coihueco,12,CL,1554670800,30,-36.63,-71.83,84.2,5.82
bo phloi,0,TH,1554672575,64,14.32,99.52,86.0,2.62
champerico,40,MX,1554669960,22,16.38,-93.6,98.6,6.93
cherskiy,0,RU,1554672617,63,68.75,161.3,9.16,2.39
kulhudhuffushi,48,MV,1554672700,100,6.62,73.07,81.16,2.28
san clemente,1,US,1554672542,56,33.43,-117.61,84.0,5.82
tual,0,ID,1554672701,99,-5.67,132.75,83.68,5.64
kapaa,40,US,1554672695,65,22.08,-159.32,79.0,8.05
grand gaube,40,MU,1554672540,74,-20.01,57.66,80.6,12.75
vila do maio,75,CV,1554670800,73,15.13,-23.22,71.6,18.34
praia da vitoria,40,PT,1554672686,76,38.73,-27.07,55.4,24.09
yuzhno-kurilsk,0,RU,1554672702,98,44.03,145.86,33.1,19.28
sorong,56,ID,1554672617,100,-0.86,131.25,82.06,2.95
san cristobal,75,EC,1554672640,64,-0.39,-78.55,68.0,10.29
ulaanbaatar,75,MN,1554672600,58,47.92,106.92,28.4,6.71
vostok,32,RU,1554672703,74,46.45,135.83,17.08,1.95
tsumeb,56,NA,1554672703,71,-19.25,17.72,67.03,12.8
touros,20,BR,1554670800,78,-5.2,-35.46,82.4,6.93
quepos,75,CR,1554672692,54,9.43,-84.16,78.8,13.87
castro,40,CL,1554670800,72,-42.48,-73.76,66.2,8.05
mankato,90,US,1554672428,77,44.16,-94.0,62.6,10.29
marawi,36,PH,1554671741,89,8.0,124.29,77.0,3.0
mbandaka,12,CD,1554672704,100,0.05,18.26,73.15,2.17
cabo san lucas,5,MX,1554672313,44,22.89,-109.91,82.99,6.93
rosarito,40,CO,1554670800,74,4.91,-75.23,78.8,5.82
kroya,48,ID,1554672705,94,-6.5,108.06,72.79,3.62
egvekinot,12,RU,1554672705,78,66.32,-179.17,7.81,7.65
belmonte,92,PT,1554671773,86,40.36,-7.35,51.01,5.01
umea,90,SE,1554670200,74,63.83,20.26,33.8,17.22
katangli,88,RU,1554672706,92,51.71,143.23,28.87,8.77
krasnoarmeysk,0,RU,1554672368,60,56.12,38.15,41.0,4.47
catumbela,0,AO,1554672706,95,-12.43,13.55,71.35,1.05
sharqpur,75,PK,1554670500,50,31.46,74.1,75.2,6.93
vao,68,EE,1554672586,82,59.1,26.19,43.18,7.43
atar,0,MR,1554672707,26,20.52,-13.05,67.75,7.2
santiago del estero,0,AR,1554672633,50,-27.8,-64.26,78.1,7.76
lasa,0,CY,1554671803,82,34.92,32.53,62.6,5.82
mao,40,DO,1554672658,45,19.55,-71.08,88.0,13.87
ardatov,0,RU,1554672708,74,55.24,43.1,27.07,4.52
coquimbo,75,CL,1554670800,82,-29.95,-71.34,60.8,10.29
huarmey,12,PE,1554672708,57,-10.07,-78.15,77.02,3.74
huntington,90,US,1554672703,88,38.42,-82.45,69.01,3.36
gat,0,SN,1554670800,29,14.69,-16.54,89.6,4.7
samarai,88,PG,1554672709,100,-10.62,150.67,76.48,1.95
nizhniy kuranakh,80,RU,1554672709,81,58.84,125.49,21.31,2.39
lowestoft,8,GB,1554672636,100,52.48,1.75,48.99,3.36
belyy yar,0,RU,1554670800,58,53.6,91.39,28.4,11.18
thompson,90,CA,1554667200,45,55.74,-97.86,24.8,12.75
gacko,75,BA,1554670800,93,43.17,18.53,53.6,5.82
springbok,0,ZA,1554672710,92,-29.67,17.88,50.11,5.19
mossendjo,88,CG,1554672710,95,-2.95,12.72,70.36,2.17
lata,24,IN,1554672532,79,30.78,78.62,45.25,2.51
el rusio,12,HN,1554672711,45,14.47,-86.37,83.77,4.74
hobyo,0,SO,1554672711,91,5.35,48.53,76.93,7.2
yerofey pavlovich,0,RU,1554672711,55,53.97,121.97,22.21,4.97
barraute,75,CA,1554670800,34,48.43,-77.63,35.6,8.05
esperance,20,TT,1554672308,55,10.24,-61.45,86.0,12.75
preston,12,GB,1554672598,76,53.76,-2.71,53.6,8.05
syracuse,1,US,1554672694,55,43.05,-76.15,66.99,3.36
ancud,40,CL,1554670800,72,-41.87,-73.83,66.2,8.05
nador,56,MA,1554670800,67,35.17,-2.93,60.8,3.36
mbaiki,44,CF,1554672713,82,3.87,17.99,76.21,3.18
tavda,24,RU,1554672713,75,58.04,65.27,28.06,4.63
nizhniy tsasuchey,20,RU,1554672714,68,50.52,115.13,15.91,3.29
pacific grove,1,US,1554672551,59,36.62,-121.92,78.01,5.82
caconda,44,AO,1554672714,95,-13.73,15.06,60.73,2.73
nioaque,20,BR,1554672714,76,-21.16,-55.83,75.49,4.74
coria,92,ES,1554667565,95,39.98,-6.54,53.01,2.62
kenai,90,US,1554672459,49,60.55,-151.26,51.01,10.29
dingle,44,PH,1554672715,90,11.0,122.67,76.57,10.22
namibe,0,AO,1554672715,100,-15.19,12.15,77.02,7.76
fortuna,20,ES,1554672711,45,38.18,-1.13,62.6,6.93
tarnobrzeg,0,PL,1554672678,93,50.57,21.68,48.99,1.12
saint-augustin,0,FR,1554672448,87,44.83,-0.61,50.0,2.24
swindon,90,GB,1554672664,100,51.56,-1.79,52.0,2.95
pevek,36,RU,1554672716,100,69.7,170.27,-0.3,5.86
